rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
19,"spotify:track:42UBPzRMh5yyz0EDPr6fr1","Sabrina Carpenter","Manchild","Island Records",1,7,6,"6029748"
20,"spotify:track:0LutvoC2HqCfnaRSjrhtzo","Justin Bieber","WALKING AWAY","ILH Production Co. LLC / Def Jam Recordings",20,-1,1,"5798077"
21,"spotify:track:5cfsQZEFf1IpQr8F9vI9le","Justin Bieber","BUTTERFLIES","ILH Production Co. LLC / Def Jam Recordings",21,-1,1,"5679183"
22,"spotify:track:1r3uOHPoiIv89Xb6K9bDH4","Justin Bieber, Gunna","WAY IT IS","ILH Production Co. LLC / Def Jam Recordings",22,-1,1,"5605471"
23,"spotify:track:4AajxCEwGEsmHmT4H1TwjY","sombr","undressed","Warner Records",3,14,16,"5595629"
24,"spotify:track:0ofHAoxe9vBkTCp2UQIavz","Fleetwood Mac","Dreams - 2004 Remaster","Rhino/Warner Records",6,11,234,"5595090"
25,"spotify:track:5z0LSDpPpGwc2ZyJHpsE3J","Morgan Wallen","Just In Case","Big Loud Records / Mercury Records / Republic Records",2,13,17,"5556990"
26,"spotify:track:1097cG16gzkhlPgkUt6KA0","Travis Scott, Don Toliver","CHAMPAIN & VACAY","Cactus Jack / Epic",26,-1,1,"5341632"
27,"spotify:track:5P03xImM2uFukzoty7NDw7","Travis Scott","KICK OUT","Cactus Jack / Epic",27,-1,1,"5326833"
28,"spotify:track:4gfrYDtaRmp6HPvN80V2ob","Morgan Wallen","I Got Better","Big Loud Records / Mercury Records / Republic Records",3,19,9,"5131265"
29,"spotify:track:6Qyc6fS4DsZjB2mRW9DsQs","The Goo Goo Dolls","Iris","Warner Records",24,26,73,"5076751"
30,"spotify:track:3siwsiaEoU4Kuuc9WKMUy5","The Marías","No One Noticed","Nice Life/Atlantic",5,25,48,"5012848"
31,"spotify:track:6393yGahSJ9slVdOwSxOVR","Chappell Roan","Pink Pony Club","Chappell Roan PS/ Island",8,21,58,"4995545"
32,"spotify:track:6dOtVTDdiauQNBQEDOtlAB","Billie Eilish","BIRDS OF A FEATHER","Darkroom/Interscope Records",2,22,61,"4982132"
33,"spotify:track:4uyBm26e7ElRigCH6vRbpc","Justin Bieber, Dijon","DEVOTION","ILH Production Co. LLC / Def Jam Recordings",33,-1,1,"4960461"
34,"spotify:track:5IZXB5IKAD2qlvTPJYDCFB","Post Malone, Morgan Wallen","I Had Some Help (Feat. Morgan Wallen)","Mercury Records / Republic Records",1,16,62,"4915385"
35,"spotify:track:2yWlGEgEfPot0lv3OAjuG3","Tate McRae, F1 The Album","Just Keep Watching (From F1® The Movie)","Atlantic Records",12,23,7,"4909624"
36,"spotify:track:5fZJQrFKWQLb7FpJXZ1g7K","Shaboozey","A Bar Song (Tipsy)","American Dogwood / EMPIRE",3,20,66,"4819699"
37,"spotify:track:7AeM1BGYM7emrqmQn1PuWv","Morgan Wallen","I'm The Problem","Big Loud Records / Mercury Records / Republic Records",4,28,24,"4727170"
38,"spotify:track:1rQEgtQNsj63xIUzEmKbML","Travis Scott","DUMBO","Cactus Jack / Epic",38,-1,1,"4719751"
39,"spotify:track:2CGNAOSuO1MEFCbBRgUzjd","Kendrick Lamar, SZA","luther (with sza)","pgLang, under exclusive license to Interscope Records",1,27,34,"4666037"
